         778512335 function calls (766171447 primitive calls) in 512.124 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
165059958   41.119    0.000   63.660    0.000 {built-in method builtins.isinstance}
3307199/3307177   19.944    0.000  225.422    0.000 /Library/Frameworks/Python.framework/Versions/3.7/lib/python3.7/site-packages/pandas/core/series.py:166(__init__)
 40960005   12.594    0.000   18.045    0.000 /Library/Frameworks/Python.framework/Versions/3.7/lib/python3.7/site-packages/pandas/core/dtypes/generic.py:7(_check)
 71010970   12.437    0.000   18.498    0.000 {built-in method builtins.getattr}
46925687/35399881   11.055    0.000   17.878    0.000 {built-in method builtins.len}
  2396279    9.465    0.000   42.188    0.000 /Library/Frameworks/Python.framework/Versions/3.7/lib/python3.7/site-packages/pandas/core/dtypes/cast.py:971(maybe_cast_to_datetime)
  2717364    8.884    0.000   37.045    0.000 /Library/Frameworks/Python.framework/Versions/3.7/lib/python3.7/site-packages/pandas/core/internals.py:3148(get_block_type)
 14578758    8.863    0.000   16.015    0.000 /Library/Frameworks/Python.framework/Versions/3.7/lib/python3.7/site-packages/pandas/core/dtypes/base.py:61(is_dtype)
  4087129    8.810    0.000   21.306    0.000 /Library/Frameworks/Python.framework/Versions/3.7/lib/python3.7/site-packages/pandas/core/generic.py:4378(__setattr__)
  2534709    8.357    0.000   90.628    0.000 /Library/Frameworks/Python.framework/Versions/3.7/lib/python3.7/site-packages/pandas/core/series.py:4019(_sanitize_array)
8073204/8073037    8.108    0.000   13.838    0.000 /Library/Frameworks/Python.framework/Versions/3.7/lib/python3.7/site-packages/pandas/core/dtypes/common.py:1835(_get_dtype_type)
  2743890    7.792    0.000   42.157    0.000 /Library/Frameworks/Python.framework/Versions/3.7/lib/python3.7/site-packages/pandas/core/indexes/base.py:3090(get_value)
15163504/15163484    7.711    0.000    8.742    0.000 {built-in method builtins.hasattr}
  3613139    7.431    0.000   14.910    0.000 /Library/Frameworks/Python.framework/Versions/3.7/lib/python3.7/site-packages/pandas/core/internals.py:116(__init__)
  3307203    7.263    0.000   66.655    0.000 /Library/Frameworks/Python.framework/Versions/3.7/lib/python3.7/site-packages/pandas/core/internals.py:4639(__init__)
  1978933    6.500    0.000   23.371    0.000 /Library/Frameworks/Python.framework/Versions/3.7/lib/python3.7/site-packages/pandas/core/dtypes/cast.py:867(maybe_infer_to_datetimelike)
9279797/9036637    6.056    0.000    7.687    0.000 {built-in method numpy.core.multiarray.array}
   865884    5.731    0.000    9.026    0.000 /Library/Frameworks/Python.framework/Versions/3.7/lib/python3.7/site-packages/openpyxl/writer/etree_worksheet.py:110(lxml_write_cell)
  3613139    5.666    0.000   61.592    0.000 /Library/Frameworks/Python.framework/Versions/3.7/lib/python3.7/site-packages/pandas/core/internals.py:3191(make_block)
   379334    5.623    0.000    5.623    0.000 {pandas._libs.ops.scalar_compare}
  2534699    5.580    0.000   73.802    0.000 /Library/Frameworks/Python.framework/Versions/3.7/lib/python3.7/site-packages/pandas/core/series.py:4036(_try_cast)
   834672    5.541    0.000    8.612    0.000 /Library/Frameworks/Python.framework/Versions/3.7/lib/python3.7/site-packages/pandas/core/dtypes/common.py:1965(pandas_dtype)
   417303    5.279    0.000   81.109    0.000 /Library/Frameworks/Python.framework/Versions/3.7/lib/python3.7/site-packages/pandas/core/ops.py:1178(wrapper)
9218815/9218799    5.200    0.000   12.272    0.000 <frozen importlib._bootstrap>:1009(_handle_fromlist)
  4981025    5.193    0.000    8.657    0.000 /Library/Frameworks/Python.framework/Versions/3.7/lib/python3.7/site-packages/pandas/core/series.py:401(name)
  3527716    5.128    0.000    5.128    0.000 /Library/Frameworks/Python.framework/Versions/3.7/lib/python3.7/site-packages/pandas/core/generic.py:124(__init__)
  2743890    4.963    0.000   48.902    0.000 /Library/Frameworks/Python.framework/Versions/3.7/lib/python3.7/site-packages/pandas/core/series.py:764(__getitem__)
       42    4.916    0.117  457.753   10.899 /Users/khaibnd/eclipse-workspace/LNWG4/src/fitness_calculation/fitness_calculation.py:56(calculate_finished_time)
4138983/4138972    4.909    0.000    8.737    0.000 /Library/Frameworks/Python.framework/Versions/3.7/lib/python3.7/site-packages/pandas/core/generic.py:4362(__getattr__)
   643643    4.319    0.000   22.947    0.000 /Library/Frameworks/Python.framework/Versions/3.7/lib/python3.7/site-packages/pandas/core/internals.py:3500(apply)
  2784703    4.121    0.000   13.633    0.000 /Library/Frameworks/Python.framework/Versions/3.7/lib/python3.7/site-packages/pandas/core/dtypes/common.py:1688(is_extension_array_dtype)
318631/311882    4.080    0.000   16.216    0.000 /Library/Frameworks/Python.framework/Versions/3.7/lib/python3.7/site-packages/pandas/core/indexes/base.py:255(__new__)
  3307199    4.037    0.000    5.653    0.000 /Library/Frameworks/Python.framework/Versions/3.7/lib/python3.7/site-packages/pandas/core/series.py:365(_set_axis)
  6283385    4.018    0.000   12.153    0.000 {pandas._libs.lib.values_from_object}
  2812028    3.915    0.000    3.917    0.000 {method 'get_value' of 'pandas._libs.index.IndexEngine' objects}
 11272026    3.894    0.000    5.191    0.000 /Library/Frameworks/Python.framework/Versions/3.7/lib/python3.7/site-packages/pandas/core/indexes/base.py:641(__len__)
 30074876    3.777    0.000    3.777    0.000 {built-in method builtins.issubclass}
  2213868    3.564    0.000   12.799    0.000 /Library/Frameworks/Python.framework/Versions/3.7/lib/python3.7/site-packages/pandas/core/internals.py:2298(__init__)
  6725388    3.458    0.000   12.512    0.000 /Library/Frameworks/Python.framework/Versions/3.7/lib/python3.7/site-packages/pandas/core/dtypes/common.py:513(is_categorical_dtype)
  5286076    3.444    0.000    5.694    0.000 /Library/Frameworks/Python.framework/Versions/3.7/lib/python3.7/site-packages/pandas/core/internals.py:4718(dtype)
