         972820178 function calls (958199753 primitive calls) in 786.661 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
198898125/198898118   46.026    0.000   75.087    0.000 {built-in method builtins.isinstance}
  4309488   24.188    0.000  238.241    0.000 /Library/Frameworks/Python.framework/Versions/3.6/lib/python3.6/site-packages/pandas/core/series.py:155(__init__)
44326891/44287983   19.394    0.000   21.066    0.000 {built-in method builtins.getattr}
60704718/48776973   15.600    0.000   26.231    0.000 {built-in method builtins.len}
  6396652   13.671    0.000   28.635    0.000 /Library/Frameworks/Python.framework/Versions/3.6/lib/python3.6/site-packages/pandas/core/generic.py:3616(__setattr__)
 31253645   13.630    0.000   15.869    0.000 {built-in method builtins.hasattr}
 20389800   13.592    0.000   28.221    0.000 /Library/Frameworks/Python.framework/Versions/3.6/lib/python3.6/site-packages/pandas/core/dtypes/dtypes.py:85(is_dtype)
  4913824   13.390    0.000   44.613    0.000 /Library/Frameworks/Python.framework/Versions/3.6/lib/python3.6/site-packages/pandas/core/internals.py:2921(make_block)
  1852838   12.210    0.000   19.579    0.000 /Library/Frameworks/Python.framework/Versions/3.6/lib/python3.6/site-packages/pandas/core/dtypes/common.py:1903(pandas_dtype)
   679175   11.831    0.000   74.954    0.000 {pandas._libs.lib.scalar_compare}
  1541662   11.088    0.000   47.642    0.000 /Library/Frameworks/Python.framework/Versions/3.6/lib/python3.6/site-packages/pandas/core/internals.py:3251(apply)
9932912/9573237   10.712    0.000   13.060    0.000 {built-in method numpy.core.multiarray.array}
   926417   10.582    0.000  229.666    0.000 /Library/Frameworks/Python.framework/Versions/3.6/lib/python3.6/site-packages/pandas/core/ops.py:827(wrapper)
  2720895   10.521    0.000  108.875    0.000 /Library/Frameworks/Python.framework/Versions/3.6/lib/python3.6/site-packages/pandas/core/series.py:3136(_sanitize_array)
  4309506   10.517    0.000   49.465    0.000 /Library/Frameworks/Python.framework/Versions/3.6/lib/python3.6/site-packages/pandas/core/internals.py:4363(__init__)
